grievance_text,category,priority
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
The college campus needs better facilities for students. People in the locality are requesting a solution.,EDUCATION,MEDIUM
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
The government service counter has not resolved my request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,LOW
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
Residents want better safety measures around the public gathering area. People in the locality are requesting a solution.,PUBLIC_SAFETY,CRITICAL
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
Teachers and students need better facilities for classroom learning. Please arrange the necessary civic action.,EDUCATION,MEDIUM
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
Residents need assistance with damaged government housing units. People in the locality are requesting a solution.,HOUSING,CRITICAL
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
The community park needs maintenance of its walking paths.,PARKS,MEDIUM
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
Public buses are not available regularly on this route. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,MEDIUM
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Our government housing unit has serious structural damage. People in the locality are requesting a solution.,HOUSING,CRITICAL
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
